Code INSEE département,Mois,TMin (°C),TMax (°C),TMoy (°C)
17,2023-01-01,6.552903225806452,9.971290322580646,8.261290322580646
17,2023-02-01,4.948214285714286,10.152142857142858,7.550357142857143
17,2023-03-01,8.19483870967742,12.425806451612903,10.309032258064516
17,2023-04-01,9.542666666666666,14.868,12.206
17,2023-05-01,12.883225806451613,19.666451612903224,16.27516129032258
17,2023-06-01,17.529666666666667,23.499333333333333,20.515
17,2023-07-01,17.64290322580645,22.10483870967742,19.873870967741937
17,2023-08-01,18.207741935483874,23.030645161290323,20.619032258064518
17,2023-09-01,18.454,24.421666666666667,21.437333333333335
17,2023-10-01,15.01032258064516,20.491935483870968,17.750967741935483
17,2023-11-01,10.497000000000002,14.412,12.454666666666666
17,2023-12-01,8.495161290322581,12.032903225806452,10.263548387096774
17,2024-01-01,5.5035483870967745,9.990645161290322,7.747419354838709
17,2024-02-01,8.763793103448275,12.569999999999999,10.667241379310346
17,2024-03-01,8.505161290322581,13.946774193548388,11.226451612903226
17,2024-04-01,10.003666666666668,16.134666666666668,13.068333333333333
17,2024-05-01,12.79225806451613,18.183548387096774,15.488064516129032
17,2024-06-01,14.977,21.30933333333333,18.142999999999997
17,2024-07-01,17.02806451612903,23.31032258064516,20.169354838709676
17,2024-08-01,17.13935483870968,24.146774193548385,20.643870967741936
17,2024-09-01,14.346333333333332,20.112333333333332,17.23033333333333
17,2024-10-01,13.175483870967742,18.213548387096775,15.693870967741935
17,2024-11-01,9.473666666666666,14.860999999999999,12.167333333333334
17,2024-12-01,6.7296774193548385,10.995483870967742,8.862903225806452
17,2025-01-01,4.841290322580646,10.229354838709678,7.5358064516129035
17,2025-02-01,5.741785714285714,11.545,8.644285714285713
18,2018-01-01,5.290322580645161,10.13225806451613,7.711290322580646
18,2018-02-01,-1.175,4.798214285714286,1.8107142857142857
18,2018-03-01,3.6451612903225805,12.219354838709679,7.93258064516129
18,2018-04-01,7.911666666666666,18.766666666666666,13.339333333333334
18,2018-05-01,9.853225806451613,21.575806451612905,15.714193548387096
18,2018-06-01,14.336666666666668,25.223333333333336,19.779666666666667
18,2018-07-01,16.09032258064516,29.114516129032257,22.603548387096776
18,2018-08-01,15.64516129032258,28.203225806451613,21.923548387096773
18,2018-09-01,11.346666666666666,25.461666666666666,18.404333333333334
18,2018-10-01,8.51774193548387,19.741935483870968,14.129999999999999
18,2018-11-01,5.235,12.129999999999999,8.682666666666668
18,2018-12-01,3.6451612903225805,9.316129032258065,6.481290322580645
18,2019-01-01,0.6225806451612902,6.033870967741936,3.32741935483871
18,2019-02-01,1.8142857142857143,13.419642857142858,7.616071428571429
18,2019-03-01,4.254838709677419,14.508064516129032,9.381612903225806
18,2019-04-01,5.316666666666666,16.841666666666665,11.080333333333334
18,2019-05-01,8.011290322580646,18.461290322580645,13.236774193548387
18,2019-06-01,13.671666666666665,26.391666666666666,20.032666666666668
18,2019-07-01,15.995161290322581,29.71451612903226,22.85516129032258
18,2019-08-01,14.506451612903225,28.891935483870967,21.699354838709677
18,2019-09-01,11.358333333333333,23.961666666666666,17.66033333333333
18,2019-10-01,10.90967741935484,18.146774193548385,14.52774193548387
18,2019-11-01,5.44,11.073333333333332,8.256
18,2019-12-01,4.312258064516129,10.18741935483871,7.248709677419355
18,2020-01-01,3.4387096774193546,10.075806451612904,6.757419354838709
18,2020-02-01,5.0344827586206895,12.532758620689656,8.784827586206896
18,2020-03-01,4.296774193548386,13.635483870967741,8.96516129032258
18,2020-04-01,7.456666666666666,21.0,14.227666666666666
18,2020-05-01,10.220967741935485,21.782258064516128,16.00193548387097
18,2020-06-01,12.351666666666667,23.458333333333332,17.90533333333333
18,2020-07-01,14.596774193548388,27.68548387096774,21.140967741935484
18,2020-08-01,15.883870967741936,28.291935483870965,22.087741935483873
18,2020-09-01,12.104999999999999,24.921666666666667,18.513666666666666
18,2020-10-01,8.933870967741935,15.343548387096773,12.138064516129031
18,2020-11-01,5.653333333333333,14.06,9.856333333333334
18,2020-12-01,3.6693548387096775,8.951612903225806,6.3106451612903225
18,2021-01-01,1.2548387096774194,6.735483870967743,3.995483870967742
18,2021-02-01,3.394642857142857,11.4,7.3975
18,2021-03-01,2.364516129032258,13.469354838709679,7.916774193548386
18,2021-04-01,3.9433333333333334,15.838333333333333,9.889333333333333
18,2021-05-01,7.808064516129033,18.030645161290323,12.919354838709678
18,2021-06-01,14.253333333333334,25.34333333333333,19.798333333333336
18,2021-07-01,14.540322580645162,24.393548387096775,19.46709677419355
18,2021-08-01,13.966129032258063,24.438709677419357,19.20193548387097
18,2021-09-01,13.405,24.516666666666666,18.961000000000002
18,2021-10-01,6.733870967741935,18.10483870967742,12.42
